"","SalePrice","YearBuilt","YrSold","MonthSold","Size.sqf.","Floor","HallwayType","HeatingType","AptManageType","N_Parkinglot.Ground.","N_Parkinglot.Basement.","TimeToBusStop","TimeToSubway","N_APT","N_manager","N_elevators","SubwayStation","N_FacilitiesNearBy.PublicOffice.","N_FacilitiesNearBy.Hospital.","N_FacilitiesNearBy.Dpartmentstore.","N_FacilitiesNearBy.Mall.","N_FacilitiesNearBy.ETC.","N_FacilitiesNearBy.Park.","N_SchoolNearBy.Elementary.","N_SchoolNearBy.Middle.","N_SchoolNearBy.High.","N_SchoolNearBy.University.","N_FacilitiesInApt","N_FacilitiesNearBy.Total.","N_SchoolNearBy.Total."
"3696",62831,1992,2014,8,355,1,"corridor","individual_heating","management_in_trust",200,0,"5min~10min","10min~15min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"3697",211946,2005,2014,8,743,7,"mixed","individual_heating","management_in_trust",67,798,"0~5min","5min~10min",8,6,0,"Bangoge",5,2,0,1,5,0,3,4,4,4,7,13,15
"3699",279646,2007,2014,8,868,8,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3700",240707,2006,2014,8,903,14,"terraced","individual_heating","management_in_trust",123,181,"5min~10min","0-5min",3,3,11,"Myung-duk",3,1,1,1,2,0,4,3,3,1,4,8,11
"3701",256637,2007,2014,8,868,8,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3703",252212,1986,2014,8,1377,2,"terraced","central_heating","management_in_trust",713,0,"0~5min","10min~15min",7,8,27,"Kyungbuk_uni_hospital",5,1,1,0,1,1,3,1,1,1,4,9,6
"3704",238053,1986,2014,8,1131,7,"terraced","central_heating","management_in_trust",713,0,"0~5min","10min~15min",7,8,27,"Kyungbuk_uni_hospital",5,1,1,0,1,1,3,1,1,1,4,9,6
"3705",174336,1978,2014,8,903,4,"corridor","individual_heating","self_management",87,0,"0~5min","0-5min",2,1,4,"Kyungbuk_uni_hospital",3,2,1,1,0,0,3,3,3,2,3,7,11
"3707",292035,2007,2014,8,868,15,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3708",230088,2006,2014,8,903,7,"terraced","individual_heating","management_in_trust",123,181,"5min~10min","0-5min",3,3,11,"Myung-duk",3,1,1,1,2,0,4,3,3,1,4,8,11
"3710",274336,2007,2014,8,868,5,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3712",354123,2007,2014,8,1643,9,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3713",310309,2007,2014,8,1643,9,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3716",265486,1986,2014,8,1796,1,"terraced","central_heating","management_in_trust",713,0,"0~5min","10min~15min",7,8,27,"Kyungbuk_uni_hospital",5,1,1,0,1,1,3,1,1,1,4,9,6
"3717",292035,2007,2014,8,868,13,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3719",290265,2007,2014,8,868,5,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3720",256637,1986,2014,8,1377,5,"terraced","central_heating","management_in_trust",713,0,"0~5min","10min~15min",7,8,27,"Kyungbuk_uni_hospital",5,1,1,0,1,1,3,1,1,1,4,9,6
"3721",265486,2009,2014,9,910,9,"terraced","individual_heating","management_in_trust",25,203,"0~5min","no_bus_stop_nearby",1,2,5,"no_subway_nearby",2,1,0,0,2,1,2,1,1,1,5,6,5
"3723",296460,2013,2014,9,907,3,"terraced","individual_heating","management_in_trust",8,930,"0~5min","0-5min",7,6,14,"Kyungbuk_uni_hospital",5,1,1,1,0,1,4,2,2,3,7,9,11
"3727",93362,1985,2014,9,587,5,"corridor","individual_heating","self_management",80,76,"0~5min","5min~10min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"3728",110619,1985,2014,9,676,9,"corridor","individual_heating","self_management",80,76,"0~5min","5min~10min",1,2,2,"Daegu",5,1,2,1,2,1,2,1,1,0,3,12,4
"3730",319469,2007,2014,9,1444,20,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"3731",318584,2007,2014,9,1483,11,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"3732",70796,1986,2014,9,508,12,"corridor","individual_heating","management_in_trust",100,18,"0~5min","5min~10min",1,1,2,"Sin-nam",5,1,2,1,1,1,6,2,3,2,3,11,13
"3734",300884,2006,2014,9,1149,25,"terraced","individual_heating","management_in_trust",249,536,"0~5min","0-5min",6,5,11,"Sin-nam",1,1,0,1,0,0,2,2,1,2,5,3,7
"3735",344247,2006,2014,9,1412,25,"terraced","individual_heating","management_in_trust",249,536,"0~5min","0-5min",6,5,11,"Sin-nam",1,1,0,1,0,0,2,2,1,2,5,3,7
"3736",304424,2006,2014,9,1149,10,"terraced","individual_heating","management_in_trust",249,536,"0~5min","0-5min",6,5,11,"Sin-nam",1,1,0,1,0,0,2,2,1,2,5,3,7
"3738",349557,2006,2014,9,1437,24,"terraced","individual_heating","management_in_trust",249,536,"0~5min","0-5min",6,5,11,"Sin-nam",1,1,0,1,0,0,2,2,1,2,5,3,7
"3739",366371,2006,2014,9,1412,26,"terraced","individual_heating","management_in_trust",249,536,"0~5min","0-5min",6,5,11,"Sin-nam",1,1,0,1,0,0,2,2,1,2,5,3,7
"3740",237168,2005,2014,9,914,10,"mixed","individual_heating","management_in_trust",67,798,"0~5min","5min~10min",8,6,0,"Bangoge",5,2,0,1,5,0,3,4,4,4,7,13,15
"3741",172566,1993,2014,9,644,12,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"3742",154867,1993,2014,9,644,18,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"3743",61946,1992,2014,9,355,7,"corridor","individual_heating","management_in_trust",200,0,"5min~10min","10min~15min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"3744",170796,2005,2014,9,572,4,"mixed","individual_heating","management_in_trust",67,798,"0~5min","5min~10min",8,6,0,"Bangoge",5,2,0,1,5,0,3,4,4,4,7,13,15
"3745",190265,1993,2014,9,914,2,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"3746",333628,2007,2014,9,1419,28,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0-5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8
"3747",190265,2014,2014,9,644,11,"terraced","individual_heating","management_in_trust",90,1174,"0~5min","0-5min",10,7,20,"Myung-duk",7,1,0,1,5,0,4,3,5,5,9,14,17
"3750",234513,2005,2014,9,914,13,"mixed","individual_heating","management_in_trust",67,798,"0~5min","5min~10min",8,6,0,"Bangoge",5,2,0,1,5,0,3,4,4,4,7,13,15
"3751",115044,1992,2014,9,640,3,"corridor","individual_heating","management_in_trust",200,0,"5min~10min","10min~15min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"3753",203539,1993,2014,9,914,3,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"3754",281415,2007,2014,9,1103,22,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0-5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8
"3756",93097,2014,2014,9,288,3,"corridor","individual_heating","management_in_trust",11,108,"0~5min","5min~10min",1,3,0,"Banwoldang",3,1,2,1,0,1,2,2,2,2,2,8,8
"3759",252212,2008,2014,9,829,5,"terraced","individual_heating","management_in_trust",197,475,"5min~10min","0-5min",6,6,14,"Sin-nam",3,1,1,1,0,1,2,3,2,2,8,7,9
"3761",152212,1993,2014,9,644,4,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"3763",211946,2005,2014,9,743,19,"mixed","individual_heating","management_in_trust",67,798,"0~5min","5min~10min",8,6,0,"Bangoge",5,2,0,1,5,0,3,4,4,4,7,13,15
"3764",309292,2007,2014,9,1394,25,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0-5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8
"3765",184955,1992,2014,9,914,1,"mixed","individual_heating","self_management",142,79,"5min~10min","15min~20min",3,4,8,"Myung-duk",5,1,1,1,1,0,3,3,4,4,3,9,14
"3767",207079,1993,2014,9,914,19,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"3768",175663,2005,2014,9,572,16,"mixed","individual_heating","management_in_trust",67,798,"0~5min","5min~10min",8,6,0,"Bangoge",5,2,0,1,5,0,3,4,4,4,7,13,15
"3769",269911,2007,2014,9,1103,5,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0-5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8
"3770",283185,2007,2014,9,1103,16,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0-5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8
"3772",63274,1992,2014,9,355,4,"corridor","individual_heating","management_in_trust",200,0,"5min~10min","10min~15min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"3774",278761,2007,2014,9,868,6,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3775",353982,2007,2014,9,1387,21,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3780",402654,2007,2014,9,1928,5,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3782",280530,2007,2014,9,868,10,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3783",303539,2007,2014,9,868,12,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3784",223008,2006,2014,9,857,10,"terraced","individual_heating","management_in_trust",123,181,"5min~10min","0-5min",3,3,11,"Myung-duk",3,1,1,1,2,0,4,3,3,1,4,8,11
"3786",271681,2007,2014,9,868,11,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3790",238938,1986,2014,9,1313,6,"terraced","central_heating","management_in_trust",713,0,"0~5min","10min~15min",7,8,27,"Kyungbuk_uni_hospital",5,1,1,0,1,1,3,1,1,1,4,9,6
"3791",268141,2007,2014,9,868,4,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3792",396460,2007,2014,9,1387,43,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3793",369628,2007,2014,9,1928,9,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3794",423619,2007,2014,9,1928,32,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3795",388690,2007,2014,9,1928,24,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3796",348283,2007,2014,9,1928,5,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3797",230088,2006,2014,9,903,4,"terraced","individual_heating","management_in_trust",123,181,"5min~10min","0-5min",3,3,11,"Myung-duk",3,1,1,1,2,0,4,3,3,1,4,8,11
"3798",54867,1980,2014,10,910,3,"terraced","individual_heating","management_in_trust",90,1174,"0~5min","0-5min",10,7,20,"Myung-duk",7,1,0,1,5,0,4,3,5,5,9,14,17
"3799",292035,2009,2014,10,1160,17,"terraced","individual_heating","management_in_trust",25,203,"0~5min","no_bus_stop_nearby",1,2,5,"no_subway_nearby",2,1,0,0,2,1,2,1,1,1,5,6,5
"3802",265486,2009,2014,10,910,9,"terraced","individual_heating","management_in_trust",25,203,"0~5min","no_bus_stop_nearby",1,2,5,"no_subway_nearby",2,1,0,0,2,1,2,1,1,1,5,6,5
"3803",314159,2013,2014,10,907,20,"terraced","individual_heating","management_in_trust",8,930,"0~5min","0-5min",7,6,14,"Kyungbuk_uni_hospital",5,1,1,1,0,1,4,2,2,3,7,9,11
"3804",287610,2013,2014,10,907,5,"terraced","individual_heating","management_in_trust",8,930,"0~5min","0-5min",7,6,14,"Kyungbuk_uni_hospital",5,1,1,1,0,1,4,2,2,3,7,9,11
"3807",232743,2006,2014,10,814,15,"terraced","individual_heating","management_in_trust",111,184,"5min~10min","10min~15min",3,3,0,"Kyungbuk_uni_hospital",2,1,1,1,1,0,3,2,2,2,5,6,9
"3808",210619,2006,2014,10,636,16,"terraced","individual_heating","management_in_trust",111,184,"5min~10min","10min~15min",3,3,0,"Kyungbuk_uni_hospital",2,1,1,1,1,0,3,2,2,2,5,6,9
"3809",224778,2006,2014,10,636,20,"terraced","individual_heating","management_in_trust",111,184,"5min~10min","10min~15min",3,3,0,"Kyungbuk_uni_hospital",2,1,1,1,1,0,3,2,2,2,5,6,9
"3810",212389,2006,2014,10,636,7,"terraced","individual_heating","management_in_trust",111,184,"5min~10min","10min~15min",3,3,0,"Kyungbuk_uni_hospital",2,1,1,1,1,0,3,2,2,2,5,6,9
"3813",53982,2014,2014,10,135,13,"corridor","individual_heating","self_management",0,218,"10min~15min","5min~10min",1,4,0,"no_subway_nearby",4,1,0,0,1,0,0,0,0,1,1,6,1
"3814",343362,2007,2014,10,1334,13,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"3817",315929,2007,2014,10,1483,12,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"3818",159292,1986,2014,10,910,15,"corridor","individual_heating","management_in_trust",100,18,"0~5min","5min~10min",1,1,2,"Sin-nam",5,1,2,1,1,1,6,2,3,2,3,11,13
"3819",87610,1986,2014,10,508,4,"corridor","individual_heating","management_in_trust",100,18,"0~5min","5min~10min",1,1,2,"Sin-nam",5,1,2,1,1,1,6,2,3,2,3,11,13
"3820",252212,2006,2014,10,914,7,"terraced","individual_heating","management_in_trust",249,536,"0~5min","0-5min",6,5,11,"Sin-nam",1,1,0,1,0,0,2,2,1,2,5,3,7
"3821",247787,2006,2014,10,818,20,"terraced","individual_heating","management_in_trust",249,536,"0~5min","0-5min",6,5,11,"Sin-nam",1,1,0,1,0,0,2,2,1,2,5,3,7
"3822",345132,2006,2014,10,1743,8,"terraced","individual_heating","management_in_trust",249,536,"0~5min","0-5min",6,5,11,"Sin-nam",1,1,0,1,0,0,2,2,1,2,5,3,7
"3824",365486,2006,2014,10,1743,23,"terraced","individual_heating","management_in_trust",249,536,"0~5min","0-5min",6,5,11,"Sin-nam",1,1,0,1,0,0,2,2,1,2,5,3,7
"3825",308849,2006,2014,10,1149,20,"terraced","individual_heating","management_in_trust",249,536,"0~5min","0-5min",6,5,11,"Sin-nam",1,1,0,1,0,0,2,2,1,2,5,3,7
"3826",342477,2006,2014,10,1743,3,"terraced","individual_heating","management_in_trust",249,536,"0~5min","0-5min",6,5,11,"Sin-nam",1,1,0,1,0,0,2,2,1,2,5,3,7
"3827",282300,1993,2014,10,2337,15,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"3828",282053,1993,2014,10,2337,6,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"3829",280973,1993,2014,10,2337,10,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"3833",280530,2005,2014,10,1184,3,"mixed","individual_heating","management_in_trust",67,798,"0~5min","5min~10min",8,6,0,"Bangoge",5,2,0,1,5,0,3,4,4,4,7,13,15
"3834",219469,1993,2014,10,914,23,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"3835",226725,2014,2014,10,914,21,"terraced","individual_heating","management_in_trust",467,203,"0~5min","0-5min",5,5,12,"Banwoldang",0,0,0,0,0,0,0,0,0,0,10,0,0
"3837",194690,1993,2014,10,914,3,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"3838",159292,1993,2014,10,644,9,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"3839",232743,1992,2014,10,1448,6,"mixed","individual_heating","self_management",142,79,"5min~10min","15min~20min",3,4,8,"Myung-duk",5,1,1,1,1,0,3,3,4,4,3,9,14
"3840",118584,1992,2014,10,576,9,"corridor","individual_heating","management_in_trust",200,0,"5min~10min","10min~15min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"3841",63716,1992,2014,10,355,6,"corridor","individual_heating","management_in_trust",200,0,"5min~10min","10min~15min",3,5,10,"Myung-duk",7,1,1,1,5,1,4,3,5,5,3,16,17
"3842",168141,1993,2014,10,644,21,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"3843",179646,2005,2014,10,572,18,"mixed","individual_heating","management_in_trust",67,798,"0~5min","5min~10min",8,6,0,"Bangoge",5,2,0,1,5,0,3,4,4,4,7,13,15
"3844",256637,1993,2014,10,1761,1,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"3845",284955,1993,2014,10,1451,10,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"3846",325221,2008,2014,10,1167,15,"terraced","individual_heating","management_in_trust",197,475,"5min~10min","0-5min",6,6,14,"Sin-nam",3,1,1,1,0,1,2,3,2,2,8,7,9
"3847",103982,2014,2014,10,288,15,"corridor","individual_heating","management_in_trust",11,108,"0~5min","5min~10min",1,3,0,"Banwoldang",3,1,2,1,0,1,2,2,2,2,2,8,8
"3848",184070,2005,2014,10,572,19,"mixed","individual_heating","management_in_trust",67,798,"0~5min","5min~10min",8,6,0,"Bangoge",5,2,0,1,5,0,3,4,4,4,7,13,15
"3849",152654,1992,2014,10,644,16,"mixed","individual_heating","self_management",142,79,"5min~10min","15min~20min",3,4,8,"Myung-duk",5,1,1,1,1,0,3,3,4,4,3,9,14
"3850",155752,1993,2014,10,644,3,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"3851",139823,2005,2014,10,572,21,"mixed","individual_heating","management_in_trust",67,798,"0~5min","5min~10min",8,6,0,"Bangoge",5,2,0,1,5,0,3,4,4,4,7,13,15
"3853",83902,2014,2014,10,288,2,"corridor","individual_heating","management_in_trust",11,108,"0~5min","5min~10min",1,3,0,"Banwoldang",3,1,2,1,0,1,2,2,2,2,2,8,8
"3854",345132,2014,2014,10,1092,18,"terraced","individual_heating","management_in_trust",90,1174,"0~5min","0-5min",10,7,20,"Myung-duk",7,1,0,1,5,0,4,3,5,5,9,14,17
"3855",383716,2007,2014,10,1928,11,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3856",376867,2007,2014,10,1928,14,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3857",398230,2007,2014,10,1387,41,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3858",393805,2007,2014,10,1643,9,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3859",211504,1986,2014,10,1131,1,"terraced","central_heating","management_in_trust",713,0,"0~5min","10min~15min",7,8,27,"Kyungbuk_uni_hospital",5,1,1,0,1,1,3,1,1,1,4,9,6
"3860",291150,2007,2014,10,868,17,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3861",300000,2007,2014,10,868,21,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3862",283185,2007,2014,10,868,10,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3864",315044,2007,2014,10,868,22,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3865",247787,2006,2014,10,903,15,"terraced","individual_heating","management_in_trust",123,181,"5min~10min","0-5min",3,3,11,"Myung-duk",3,1,1,1,2,0,4,3,3,1,4,8,11
"3866",429203,2007,2014,10,1928,24,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3867",274336,2007,2014,10,868,8,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3869",291150,2007,2014,10,868,4,"terraced","individual_heating","management_in_trust",0,1270,"0~5min","0-5min",7,14,16,"Kyungbuk_uni_hospital",3,1,2,1,0,2,3,3,2,2,10,9,10
"3871",118584,1997,2014,11,558,5,"mixed","individual_heating","management_in_trust",82,56,"5min~10min","15min~20min",1,2,4,"Chil-sung-market",7,1,2,1,1,1,4,0,0,3,5,13,7
"3872",271681,2009,2014,11,914,7,"terraced","individual_heating","management_in_trust",25,203,"0~5min","no_bus_stop_nearby",1,2,5,"no_subway_nearby",2,1,0,0,2,1,2,1,1,1,5,6,5
"3873",212389,2009,2014,11,910,1,"terraced","individual_heating","management_in_trust",25,203,"0~5min","no_bus_stop_nearby",1,2,5,"no_subway_nearby",2,1,0,0,2,1,2,1,1,1,5,6,5
"3875",311504,2013,2014,11,910,8,"terraced","individual_heating","management_in_trust",8,930,"0~5min","0-5min",7,6,14,"Kyungbuk_uni_hospital",5,1,1,1,0,1,4,2,2,3,7,9,11
"3876",307079,2013,2014,11,910,12,"terraced","individual_heating","management_in_trust",8,930,"0~5min","0-5min",7,6,14,"Kyungbuk_uni_hospital",5,1,1,1,0,1,4,2,2,3,7,9,11
"3879",57522,2014,2014,11,135,19,"corridor","individual_heating","self_management",0,218,"10min~15min","5min~10min",1,4,0,"no_subway_nearby",4,1,0,0,1,0,0,0,0,1,1,6,1
"3881",384955,2007,2014,11,1690,22,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"3882",323008,2007,2014,11,1273,21,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"3883",348672,2007,2014,11,1334,7,"terraced","individual_heating","management_in_trust",7,605,"0~5min","0-5min",2,5,5,"Banwoldang",4,1,2,1,0,1,2,1,1,1,5,9,5
"3885",256637,2006,2014,11,914,24,"terraced","individual_heating","management_in_trust",249,536,"0~5min","0-5min",6,5,11,"Sin-nam",1,1,0,1,0,0,2,2,1,2,5,3,7
"3886",331858,2007,2014,11,1394,10,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0-5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8
"3887",292035,1993,2014,11,2337,15,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"3888",182743,1993,2014,11,644,19,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"3890",315929,2007,2014,11,1419,9,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0-5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8
"3891",203539,1993,2014,11,914,18,"mixed","individual_heating","management_in_trust",523,536,"0~5min","15min~20min",8,8,20,"Myung-duk",6,2,0,1,5,0,4,3,5,5,4,14,17
"3892",374336,2007,2014,11,1366,11,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0-5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8
"3893",349557,2007,2014,11,1419,19,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0-5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8
"3894",240707,2008,2014,11,914,1,"terraced","individual_heating","management_in_trust",197,475,"5min~10min","0-5min",6,6,14,"Sin-nam",3,1,1,1,0,1,2,3,2,2,8,7,9
"3895",286725,2007,2014,11,1103,6,"terraced","individual_heating","management_in_trust",554,524,"0~5min","0-5min",3,5,10,"Banwoldang",2,2,2,2,0,1,2,2,2,2,4,9,8
